[Tue Aug 07 21:39:08.020926 2018] [:error] [pid 7219] [client 127.0.0.1:38630] PHP Notice:  Undefined index: email in /home/alina/www/project/www/modules/login/set-new-password.php on line 7
[Tue Aug 07 21:40:22.668765 2018] [:error] [pid 8474] [client 127.0.0.1:38964] PHP Notice:  Use of undefined constant error - assumed 'error' in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 8
[Tue Aug 07 21:40:22.668834 2018] [:error] [pid 8474] [client 127.0.0.1:38964] PHP Warning:  Illegal string offset 'title' in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 8
[Tue Aug 07 22:04:50.198251 2018] [:error] [pid 8470] [client 127.0.0.1:39388] PHP Notice:  Undefined variable: success in /home/alina/www/project/www/templates/_parts/_errors.tpl on line 12, referer: http://project:81/
[Tue Aug 07 22:04:50.198313 2018] [:error] [pid 8470] [client 127.0.0.1:39388] PHP Warning:  Invalid argument supplied for foreach() in /home/alina/www/project/www/templates/_parts/_errors.tpl on line 12, referer: http://project:81/
[Tue Aug 07 22:08:03.520825 2018] [:error] [pid 8473] [client 127.0.0.1:39414] PHP Notice:  Undefined index: logged_user in /home/alina/www/project/www/modules/profile/edit.php on line 3
[Tue Aug 07 22:08:03.520905 2018] [:error] [pid 8473] [client 127.0.0.1:39414] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/modules/profile/edit.php on line 5
[Tue Aug 07 22:08:03.570207 2018] [:error] [pid 8473] [client 127.0.0.1:39414] PHP Notice:  Undefined variable: success in /home/alina/www/project/www/templates/_parts/_errors.tpl on line 12
[Tue Aug 07 22:08:03.570252 2018] [:error] [pid 8473] [client 127.0.0.1:39414] PHP Warning:  Invalid argument supplied for foreach() in /home/alina/www/project/www/templates/_parts/_errors.tpl on line 12
[Tue Aug 07 22:08:03.570269 2018] [:error] [pid 8473] [client 127.0.0.1:39414] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/profile/profile-edit.tpl on line 11
[Tue Aug 07 22:08:03.570280 2018] [:error] [pid 8473] [client 127.0.0.1:39414] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/profile/profile-edit.tpl on line 15
[Tue Aug 07 22:08:03.570289 2018] [:error] [pid 8473] [client 127.0.0.1:39414] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/profile/profile-edit.tpl on line 19
[Tue Aug 07 22:08:03.570298 2018] [:error] [pid 8473] [client 127.0.0.1:39414] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/profile/profile-edit.tpl on line 27
[Tue Aug 07 22:08:03.570307 2018] [:error] [pid 8473] [client 127.0.0.1:39414] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/profile/profile-edit.tpl on line 32
[Tue Aug 07 22:08:03.570316 2018] [:error] [pid 8473] [client 127.0.0.1:39414] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/profile/profile-edit.tpl on line 36
[Tue Aug 07 22:08:03.570326 2018] [:error] [pid 8473] [client 127.0.0.1:39414] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/profile/profile-edit.tpl on line 40
[Tue Aug 07 22:13:37.854796 2018] [:error] [pid 14304] [client 127.0.0.1:39478] PHP Notice:  Undefined index: email in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 12, referer: http://project:81/set-new-password?email=alina3a@bk.ru&code=yjb4Go9grkMeW5R
[Tue Aug 07 22:13:37.854866 2018] [:error] [pid 14304] [client 127.0.0.1:39478] PHP Notice:  Undefined index: code in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 13, referer: http://project:81/set-new-password?email=alina3a@bk.ru&code=yjb4Go9grkMeW5R
[Tue Aug 07 22:13:46.587044 2018] [:error] [pid 7220] [client 127.0.0.1:39486] PHP Notice:  Undefined index: email in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 12, referer: http://project:81/set-new-password
[Tue Aug 07 22:13:46.587106 2018] [:error] [pid 7220] [client 127.0.0.1:39486] PHP Notice:  Undefined index: code in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 13, referer: http://project:81/set-new-password
[Tue Aug 07 22:14:11.038268 2018] [:error] [pid 14192] [client 127.0.0.1:39488] PHP Notice:  Undefined index: email in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 12, referer: http://project:81/set-new-password
[Tue Aug 07 22:14:11.038337 2018] [:error] [pid 14192] [client 127.0.0.1:39488] PHP Notice:  Undefined index: code in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 13, referer: http://project:81/set-new-password
[Tue Aug 07 22:20:55.496501 2018] [:error] [pid 7219] [client 127.0.0.1:39518] PHP Notice:  Undefined index: email in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 13, referer: http://project:81/set-new-password?email=alina3a@bk.ru&code=3NUz1Vojb5guByP
[Tue Aug 07 22:20:55.496566 2018] [:error] [pid 7219] [client 127.0.0.1:39518] PHP Notice:  Undefined index: code in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 14, referer: http://project:81/set-new-password?email=alina3a@bk.ru&code=3NUz1Vojb5guByP
[Tue Aug 07 22:21:04.764393 2018] [:error] [pid 8470] [client 127.0.0.1:39520] PHP Notice:  Undefined index: email in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 13, referer: http://project:81/set-new-password
[Tue Aug 07 22:21:04.764465 2018] [:error] [pid 8470] [client 127.0.0.1:39520] PHP Notice:  Undefined index: code in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 14, referer: http://project:81/set-new-password
[Tue Aug 07 22:21:05.794821 2018] [:error] [pid 8470] [client 127.0.0.1:39520] PHP Notice:  Undefined index: email in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 13, referer: http://project:81/set-new-password
[Tue Aug 07 22:21:05.794870 2018] [:error] [pid 8470] [client 127.0.0.1:39520] PHP Notice:  Undefined index: code in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 14, referer: http://project:81/set-new-password
[Tue Aug 07 22:21:08.646008 2018] [:error] [pid 8470] [client 127.0.0.1:39520] PHP Notice:  Undefined index: email in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 13, referer: http://project:81/set-new-password
[Tue Aug 07 22:21:08.646075 2018] [:error] [pid 8470] [client 127.0.0.1:39520] PHP Notice:  Undefined index: code in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 14, referer: http://project:81/set-new-password
[Tue Aug 07 22:22:25.063958 2018] [:error] [pid 14304] [client 127.0.0.1:39544] PHP Notice:  Undefined index: email in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 13, referer: http://project:81/set-new-password
[Tue Aug 07 22:22:25.064027 2018] [:error] [pid 14304] [client 127.0.0.1:39544] PHP Notice:  Undefined index: code in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 14, referer: http://project:81/set-new-password
[Tue Aug 07 22:33:02.610168 2018] [:error] [pid 8470] [client 127.0.0.1:39642] PHP Notice:  Undefined index: email in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 13, referer: http://project:81/set-new-password?email=alina3a@bk.ru&code=Oh3UaEAG5RClVbL
[Tue Aug 07 22:33:02.610244 2018] [:error] [pid 8470] [client 127.0.0.1:39642] PHP Notice:  Undefined index: code in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 14, referer: http://project:81/set-new-password?email=alina3a@bk.ru&code=Oh3UaEAG5RClVbL
[Tue Aug 07 22:46:36.840199 2018] [:error] [pid 7220] [client 127.0.0.1:39696] PHP Warning:  Illegal string offset 'title' in /home/alina/www/project/www/templates/_parts/_errors.tpl on line 3
[Tue Aug 07 22:46:36.840281 2018] [:error] [pid 7220] [client 127.0.0.1:39696] PHP Warning:  Illegal string offset 'title' in /home/alina/www/project/www/templates/_parts/_errors.tpl on line 3
[Tue Aug 07 22:53:17.234294 2018] [:error] [pid 14296] [client 127.0.0.1:39766] PHP Notice:  Undefined index: email in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 13, referer: http://project:81/set-new-password?email=alina3a@bk.ru&code=scwO8ab6LzKSMgW
[Tue Aug 07 22:53:17.234357 2018] [:error] [pid 14296] [client 127.0.0.1:39766] PHP Notice:  Undefined index: code in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 14, referer: http://project:81/set-new-password?email=alina3a@bk.ru&code=scwO8ab6LzKSMgW
[Tue Aug 07 23:13:19.091631 2018] [:error] [pid 8473] [client 127.0.0.1:39858] PHP Notice:  Undefined index: email in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 13, referer: http://project:81/set-new-password
[Tue Aug 07 23:13:19.091694 2018] [:error] [pid 8473] [client 127.0.0.1:39858] PHP Notice:  Undefined index: code in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 14, referer: http://project:81/set-new-password
[Tue Aug 07 23:15:05.352833 2018] [:error] [pid 7220] [client 127.0.0.1:39878] PHP Notice:  Undefined variable: success in /home/alina/www/project/www/templates/_parts/_errors.tpl on line 12, referer: http://project:81/set-new-password?email=alina3a@bk.ru&code=9wSE8m7Pl5BAyio
[Tue Aug 07 23:15:05.352896 2018] [:error] [pid 7220] [client 127.0.0.1:39878] PHP Warning:  Invalid argument supplied for foreach() in /home/alina/www/project/www/templates/_parts/_errors.tpl on line 12, referer: http://project:81/set-new-password?email=alina3a@bk.ru&code=9wSE8m7Pl5BAyio
[Tue Aug 07 23:40:12.662042 2018] [:error] [pid 14192] [client 127.0.0.1:40066] PHP Notice:  Undefined index: email in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 12, referer: http://project:81/set-new-password?email=alina3a@bk.ru&code=4ykNdiw3nap96Xx
